Check-In ID,Date,Time,Receipt Number,Room ID,Staff Name,Car Plate,Cost,Notes
8,2025-04-30,15:59,1831,38,Tono,67893247,120.0,testing spanish
10,2025-04-30,16:17,10,1,Keith Thach,3838473737,200.0,testing
11,2025-04-30,16:24,0100,18,Tonito,67893247,135.0,testing auto increment
12,2025-04-30,16:27,0100,1,Derek Thach,192498,105.0,testing
13,2025-04-30,16:28,1004,1,Derek Thach,12356,100.0,testing receipt number
14,2025-04-30,16:29,0345,1,Makito,67893247,1000.0,testing receipt number
15,2025-04-30,16:42,0195,1,Derek Thach,37857135,200.0,testing
16,2025-04-30,18:09,0199,18,Derek Thach,28367E82,80.0,Testing 
4,2025-04-29,13:03,1829,7,Arthur Traelnes,license plate,200.0,testing
5,2025-04-29,13:12,12,11,Benjamin (Siky),1111112,280.0,Testing
6,2025-04-29,13:28,12,17,Luis,67893247,100.0,testing
7,2025-04-29,15:37,1830,13,Derek Thach,12346576,240.0,testing
